Depth,GR,Porosity,Caliper,Ring resistivity
17.6473,59.0073,0.565393,9.3252,0.7383
17.7997,59.2307,0.568893,9.3063,0.7268
17.9521,62.3488,0.619244,9.5142,0.7238
18.1045,60.9932,0.610103,9.835,0.7258
18.2569,58.7017,0.601847,10.1573,0.73
18.4093,54.999,0.59949,10.5341,0.7286
18.5617,54.3085,0.588974,10.6348,0.7246
18.7141,54.3103,0.622208,10.3878,0.7217
18.8665,55.4152,0.599556,10.2145,0.7135
19.0189,54.9263,0.599749,10.2827,0.7058
19.1713,56.5483,0.564214,10.4726,0.698
19.3237,56.3626,0.582684,10.3073,0.6898
19.4761,59.2839,0.593653,10.0331,0.6927
19.6285,56.9405,0.61969,9.7932,0.6921
19.7809,55.2,0.624932,9.7757,0.689
19.9333,52.262,0.6075,9.9473,0.6714
20.0857,53.4226,0.61906,10.0754,0.65
20.2381,54.5304,0.603824,9.7706,0.6205
20.3905,59.1405,0.634258,9.3747,0.6493
20.5429,60.6872,0.618837,9.2758,0.6746
20.6953,61.7477,0.621652,9.6407,0.6825
20.8477,60.0712,0.590809,9.6608,0.678
21.0001,57.4258,0.578174,9.452,0.6755
21.1525,55.4662,0.561384,9.2355,0.6945
21.3049,54.0859,0.571405,9.336,0.7016
21.4573,56.4405,0.585793,9.7108,0.7097
21.6097,59.3961,0.600598,10.0095,0.721
21.7621,59.0717,0.582206,9.9923,0.7367
21.9145,59.7619,0.59634,9.7291,0.7509
22.0669,59.7273,0.588347,9.5261,0.748
22.2193,62.1501,0.598576,9.5197,0.7419
22.3717,61.0003,0.587704,9.6569,0.7349
22.5241,60.1679,0.554679,9.6006,0.7315
22.6765,58.2323,0.564247,9.5832,0.7305
22.8289,58.7232,0.538828,9.4759,0.7075
22.9813,57.2586,0.584588,9.224,0.6875
23.1337,56.2687,0.587965,8.9599,0.6835
23.2861,55.1745,0.600181,8.8148,0.6859
23.4385,53.9429,0.575689,8.9929,0.6895
23.5909,55.3052,0.547858,9.1315,0.6919
23.7433,57.4827,0.555849,9.1856,0.7014
23.8957,61.1121,0.570963,9.033,0.7004
24.0481,61.6805,0.5996,8.9674,0.692
24.2005,60.1318,0.595203,8.818,0.6877
24.3529,59.0642,0.627851,8.916,0.6929
24.5053,60.2091,0.584342,8.8467,0.6958
24.6577,60.3089,0.578414,8.8942,0.6901
24.8101,61.5839,0.548801,8.8346,0.6746
24.9625,60.6824,0.57297,8.9487,0.6609
25.1149,62.6609,0.581869,9.0338,0.6506
25.2673,61.8203,0.570048,9.1212,0.6512
25.4197,61.2625,0.581101,9.173,0.66
25.5721,59.479,0.573275,9.2293,0.6736
25.7245,58.0947,0.588006,9.2249,0.6793
25.8769,55.5221,0.560885,9.1353,0.6851
26.0293,56.2687,0.589213,9.0605,0.6906
26.1817,57.4971,0.574478,9.0599,0.6872
26.3341,59.0385,0.607667,9.0894,0.685
26.4865,57.8251,0.583283,8.9354,0.6806
26.6389,58.8249,0.592565,8.7417,0.6769
26.7913,59.8452,0.577831,8.6517,0.6742
26.9437,58.3377,0.582166,8.7083,0.6756
27.0961,56.5138,0.589897,8.7989,0.6756
27.2485,55.8648,0.537839,8.822,0.672
27.4009,56.3898,0.534025,8.864,0.6705
27.5533,57.5325,0.539751,8.9077,0.6745
27.7057,58.4716,0.57092,8.8927,0.6819
27.8581,59.9583,0.581054,8.7755,0.6916
28.0105,62.0838,0.551779,8.6859,0.7036
28.1629,63.1626,0.555332,8.7038,0.7157
28.3153,61.1917,0.547593,8.7787,0.7077
28.4677,57.9168,0.567211,8.7197,0.6962
28.6201,55.9278,0.569417,8.6356,0.6772
28.7725,57.6741,0.557783,8.6231,0.6645
28.9249,59.1252,0.539642,8.7375,0.6593
29.0773,58.044,0.535009,8.8032,0.6561
29.2297,67.4197,0.534873,8.7441,0.6612
29.3821,77.0734,0.528383,8.6705,0.6683
29.5345,87.8207,0.57572,8.6647,0.6779
29.6869,89.5817,0.601955,8.6223,0.689
29.8393,78.8042,0.664847,8.5923,0.6923
29.9917,65.7168,0.583644,8.5291,0.69
30.1441,62.2254,0.564321,8.6679,0.6886
30.2965,72.6169,0.552901,8.6929,0.6864
30.4489,87.7544,0.540988,8.7388,0.685
30.6013,91.2008,0.548114,8.606,0.6831
30.7537,90.1906,0.533144,8.5266,0.6762
30.9061,88.4598,0.565343,8.4083,0.6718
31.0585,88.0161,0.543377,8.3585,0.6784
31.2109,87.5077,0.541244,8.3255,0.6788
31.3633,88.9465,0.526508,8.4532,0.6806
31.5157,87.0039,0.549701,8.5814,0.6825
31.6681,83.1769,0.549177,8.6464,0.6756
31.8205,79.4913,0.574294,8.4965,0.6672
31.9729,76.9639,0.627056,8.4494,0.6513
32.1253,80.1586,0.608702,8.4125,0.6451
32.2777,81.415,0.614318,8.5683,0.6508
32.4301,82.7103,0.546731,8.7196,0.6536
32.5825,83.4237,0.558083,8.8935,0.6467
32.7349,84.7788,0.546996,8.8473,0.6465
32.8873,87.0725,0.545343,8.9098,0.6511
33.0397,87.0025,0.558522,8.8906,0.656
33.1921,85.4046,0.540844,8.9151,0.6582
33.3445,82.6018,0.551243,8.9776,0.66
33.4969,80.7916,0.56065,8.8528,0.6532
33.6493,79.7745,0.579105,8.9181,0.645
33.8017,85.2142,0.578506,8.7661,0.6374
33.9541,87.2266,0.581706,8.805,0.6318
34.1065,88.6807,0.584709,8.754,0.647
34.2589,85.2466,0.587156,8.733,0.6619
34.4113,84.9427,0.553335,8.6762,0.6756
34.5637,84.2162,0.54702,8.6405,0.6826
34.7161,82.5928,0.549101,8.5989,0.6771
34.8685,81.3832,0.577737,8.5885,0.669
35.0209,83.1444,0.592397,8.5664,0.6705
35.1733,84.2557,0.601362,8.5413,0.6733
35.3257,84.1381,0.558671,8.5668,0.6748
35.4781,82.2507,0.538054,8.5179,0.6757
35.6305,80.6276,0.528889,8.5413,0.6814
35.7829,79.0813,0.553158,8.5037,0.6821
35.9353,80.7038,0.576027,8.4816,0.6816
36.0877,80.3489,0.580624,8.4847,0.6778
36.2401,81.5624,0.558779,8.4528,0.6738
36.3925,81.4258,0.570226,8.4717,0.6702
36.5449,82.1312,0.57522,8.5041,0.6652
36.6973,82.4121,0.587144,8.5026,0.6544
36.8497,80.9972,0.558556,8.4619,0.6503
37.0021,80.4906,0.563254,8.4616,0.6455
37.1545,79.0268,0.58101,8.502,0.6411
37.3069,76.3122,0.584299,8.507,0.6463
37.4593,76.255,0.555257,8.5492,0.6572
37.6117,79.2757,0.547779,8.5715,0.6657
37.7641,81.9749,0.53423,8.5797,0.6736
37.9165,83.4415,0.520212,8.551,0.6797
38.0689,83.2019,0.524582,8.6569,0.6807
38.2213,82.5669,0.543333,8.7657,0.6864
38.3737,86.8536,0.568628,8.9101,0.6812
38.5261,83.1002,0.548823,8.8458,0.6508
38.6785,83.7149,0.566952,8.8399,0.6365
38.8309,78.1102,0.571824,8.8587,0.6356
38.9833,81.6688,0.580235,8.958,0.6393
39.1357,85.8983,0.584115,8.9942,0.6394
39.2881,88.0514,0.576674,9.0032,0.6359
39.4405,89.9188,0.559066,8.8834,0.6326
39.5929,88.3442,0.540237,8.8347,0.6306
39.7453,88.5302,0.524242,8.7593,0.6343
39.8977,86.7439,0.537986,8.709,0.6415
40.0501,85.9878,0.543358,8.6754,0.637
40.2025,85.8263,0.571991,8.7127,0.6212
40.3549,87.7753,0.599508,8.7069,0.6151
40.5073,86.9044,0.590999,8.7799,0.6085
40.6597,86.166,0.571665,8.7415,0.6001
40.8121,84.1523,0.537409,8.7464,0.5896
40.9645,84.3441,0.527624,8.6134,0.5712
41.1169,86.0272,0.544214,8.8526,0.5686
41.2693,87.169,0.555772,9.0132,0.5758
41.4217,87.9626,0.567034,9.1562,0.5923
41.5741,85.8451,0.567067,9.0729,0.6071
41.7265,86.3849,0.588771,9.0867,0.6092
41.8789,85.1842,0.592723,9.1636,0.5993
42.0313,88.5967,0.591678,9.2603,0.5988
42.1837,87.4968,0.605362,9.3082,0.5981
42.3361,89.9303,0.593993,9.3936,0.6122
42.4885,89.3706,0.590799,9.4649,0.6255
42.6409,89.1837,0.55318,9.4198,0.6258
42.7933,87.8466,0.563045,9.2702,0.6348
42.9457,87.6241,0.555908,9.0498,0.6473
43.0981,90.2304,0.573486,8.8758,0.6518
43.2505,93.2092,0.575718,8.8694,0.6429
43.4029,96.9323,0.571202,8.7141,0.6422
43.5553,97.7221,0.546146,8.6291,0.6422
43.7077,97.9417,0.538409,8.5231,0.6375
43.8601,98.6737,0.538168,8.5717,0.6363
44.0125,99.821,0.544936,8.5571,0.6419
44.1649,97.7224,0.552456,8.4705,0.6357
44.3173,94.218,0.540179,8.4324,0.6345
44.4697,90.7564,0.536754,8.4884,0.6348
44.6221,89.1623,0.531266,8.5735,0.6354
44.7745,89.4838,0.545569,8.5912,0.636
44.9269,88.6164,0.555603,8.5108,0.6342
45.0793,90.4005,0.555844,8.4603,0.6313
45.2317,90.757,0.549717,8.4625,0.6276
45.3841,95.0762,0.554495,8.5143,0.6252
45.5365,96.7961,0.552524,8.5903,0.625
45.6889,96.3657,0.55696,8.5734,0.6266
45.8413,91.8581,0.568617,8.4618,0.6276
45.9937,86.6,0.548588,8.3535,0.6245
46.1461,85.1903,0.576008,8.4225,0.621
46.2985,85.7513,0.558799,8.6075,0.6179
46.4509,89.3782,0.589302,8.7062,0.6188
46.6033,90.5121,0.561255,8.7975,0.6296
46.7557,89.2829,0.543756,8.681,0.6347
46.9081,85.0855,0.5439,8.671,0.639
47.0605,83.6788,0.556991,8.6703,0.6395
47.2129,88.6454,0.581811,8.7805,0.6366
47.3653,88.7258,0.579068,8.7572,0.6374
47.5177,88.1324,0.567797,8.6982,0.6424
47.6701,83.093,0.570194,8.6579,0.637
47.8225,86.7213,0.599496,8.7585,0.6265
47.9749,89.9554,0.603108,8.8403,0.6248
48.1273,87.6867,0.610174,8.9399,0.6303
48.2797,82.7477,0.587937,8.7784,0.6404
48.4321,75.9076,0.580046,8.631,0.637
48.5845,75.9076,0.557153,8.6021,0.6358
48.7369,75.9076,0.553641,8.7487,0.636
48.8893,75.9076,0.550521,8.8762,0.6465
49.0417,75.9076,0.561559,8.8982,0.645
49.1941,75.9076,0.549963,8.7792,0.6455
49.3465,75.9076,0.565402,8.8142,0.6533
49.4989,75.9076,0.566402,8.7715,0.6695
49.6513,75.9076,0.559242,8.684,0.6683
49.8037,75.9076,0.547906,8.4839,0.6501
49.9561,75.9076,0.542214,8.4527,0.6364
50.1085,75.9076,0.557307,8.5236,0.6376
50.2609,75.9076,0.557004,8.6148,0.6417
50.4133,75.9076,0.569503,8.5873,0.6407
50.5657,75.9076,0.584564,8.4888,0.6319
50.7181,75.9076,0.589739,8.5823,0.6236
50.8705,75.9076,0.596308,8.5987,0.6268
51.0229,75.9076,0.58199,8.5784,0.637
51.1753,75.9076,0.584851,8.4396,0.6438
51.3277,75.9076,0.549374,8.4703,0.6413
51.4801,75.9076,0.542778,8.5157,0.6315
51.6325,75.9076,0.534971,8.6321,0.6283
51.7849,75.9076,0.56665,8.7838,0.6354
51.9373,75.9076,0.569971,8.9264,0.6422
52.0897,75.9076,0.574244,8.8732,0.6434
52.2421,75.9076,0.570454,8.8311,0.6369
52.3945,75.9076,0.564305,8.7567,0.6377
52.5469,75.9076,0.561923,8.889,0.6489
52.6993,75.9076,0.557003,8.9027,0.6601
52.8517,75.9076,0.57029,8.7826,0.6673
53.0041,75.9076,0.59444,8.6273,0.6641
53.1565,75.9076,0.593413,8.7061,0.6643
53.3089,75.9076,0.586007,8.8715,0.661
53.4613,75.9076,0.546877,8.8062,0.6488
53.6137,75.9076,0.532237,8.5496,0.6322
53.7661,75.9076,0.528435,8.4328,0.6213
53.9185,75.9076,0.544068,8.4202,0.6225
54.0709,75.9076,0.553595,8.5727,0.6265
54.2233,75.9076,0.555543,8.6561,0.6418
54.3757,75.9076,0.55795,8.6665,0.6475
54.5281,75.9076,0.554062,8.6172,0.6453
54.6805,75.9076,0.56488,8.5687,0.6339
54.8329,75.9076,0.566253,8.4406,0.6299
54.9853,75.9076,0.570985,8.3675,0.6339
55.1377,75.9076,0.562354,8.3552,0.6336
55.2901,75.9076,0.552275,8.5334,0.6345
55.4425,75.9076,0.559566,8.6605,0.6329
55.5949,75.9076,0.557594,8.8007,0.6316
55.7473,75.9076,0.567806,8.8709,0.6284
55.8997,75.9076,0.583306,8.9522,0.6256
56.0521,75.9076,0.567756,9.0668,0.6395
56.2045,75.9076,0.55538,9.0494,0.6571
56.3569,76.0173,0.531823,9.0787,0.665
56.5093,77.1189,0.542904,9.1231,0.6626
56.6617,81.3969,0.547233,9.1854,0.6488
56.8141,84.2616,0.577175,9.1134,0.6636
56.9665,85.9712,0.594324,9.0464,0.661
57.1189,84.7494,0.618804,9.054,0.639
57.2713,86.3093,0.596109,9.0447,0.6223
57.4237,89.5735,0.589034,9.0251,0.6135
57.5761,88.6927,0.567017,8.9626,0.6188
57.7285,85.5673,0.559825,9.0339,0.6243
57.8809,79.4972,0.555361,9.0806,0.6273
58.0333,77.7767,0.553411,8.9803,0.6292
58.1857,76.7084,0.571621,8.9104,0.6299
58.3381,78.8959,0.561714,8.7155,0.632
58.4905,79.0025,0.603339,8.7257,0.6311
58.6429,79.0878,0.601634,8.6333,0.6235
58.7953,82.6301,0.618211,8.6311,0.5973
58.9477,83.9368,0.597198,8.6114,0.5859
59.1001,84.4011,0.590001,8.6321,0.5876
59.2525,81.3629,0.573017,8.6099,0.5909
59.4049,81.5934,0.540574,8.541,0.5966
59.5573,85.8469,0.532078,8.4447,0.6035
59.7097,87.0393,0.532985,8.4913,0.6091
59.8621,87.2654,0.543991,8.6768,0.6173
60.0145,86.842,0.553979,8.7985,0.6295
60.1669,85.1271,0.56617,8.7267,0.6509
60.3193,85.66,0.578956,8.5601,0.654
60.4717,83.6292,0.538536,8.4557,0.6461
60.6241,85.3063,0.537727,8.4676,0.6282
60.7765,86.2071,0.529563,8.497,0.6077
60.9289,85.5044,0.560043,8.5832,0.628
61.0813,84.6831,0.559186,8.6251,0.6459
61.2337,83.5787,0.545156,8.5601,0.6521
61.3861,84.6459,0.553983,8.5229,0.6509
61.5385,84.0943,0.530705,8.3178,0.6452
61.6909,83.9867,0.529689,8.4579,0.6338
61.8433,85.899,0.521122,8.5571,0.6214
61.9957,88.9841,0.524793,8.5842,0.6285
62.1481,93.3716,0.530434,8.5449,0.628
62.3005,93.7002,0.515232,8.4998,0.6254
62.4529,92.246,0.52528,8.4425,0.6224
62.6053,91.8305,0.54481,8.4955,0.6226
62.7577,93.9894,0.555819,8.5574,0.619
62.9101,96.059,0.547506,8.6433,0.6178
63.0625,94.5471,0.545298,8.6121,0.6227
63.2149,92.5482,0.570648,8.7047,0.6271
63.3673,93.161,0.578304,8.7352,0.6279
63.5197,93.0563,0.585701,8.771,0.6105
63.6721,93.4688,0.570278,8.7572,0.6096
63.8245,90.7703,0.593631,8.8454,0.621
63.9769,90.9651,0.574722,8.9605,0.6224
64.1293,88.8157,0.585282,8.944,0.6233
64.2817,91.3262,0.576524,8.7597,0.6252
64.4341,91.8818,0.579799,8.6714,0.6202
64.5865,93.5613,0.58181,8.7018,0.6124
64.7389,92.2096,0.563904,8.8432,0.6303
64.8913,93.0115,0.579508,8.8966,0.6542
65.0437,91.3727,0.549715,8.9487,0.6623
65.1961,91.6381,0.558446,8.8637,0.6647
65.3485,91.7854,0.533222,8.751,0.6633
65.5009,92.9753,0.57084,8.7022,0.6598
65.6533,92.3709,0.571779,8.6331,0.6646
65.8057,90.0888,0.581023,8.6647,0.6777
65.9581,88.095,0.546406,8.6046,0.6882
66.1105,87.7546,0.535926,8.6436,0.6718
66.2629,87.6583,0.540876,8.6187,0.6418
66.4153,90.1017,0.547767,8.5456,0.6239
66.5677,92.0631,0.553427,8.5196,0.6281
66.7201,93.2319,0.54856,8.4581,0.6227
66.8725,92.5102,0.536684,8.4693,0.615
67.0249,86.8581,0.546924,8.4565,0.6038
67.1773,79.1042,0.562167,8.5162,0.6072
67.3297,76.0712,0.577691,8.636,0.6177
67.4821,75.6778,0.566748,8.667,0.6206
67.6345,82.2244,0.526673,8.6396,0.6183
67.7869,84.6482,0.527075,8.6034,0.6165
67.9393,88.804,0.548636,8.7011,0.6155
68.0917,89.7005,0.581516,8.7136,0.616
68.2441,90.4966,0.578807,8.6978,0.6163
68.3965,90.6652,0.554354,8.8306,0.6187
68.5489,88.8722,0.542389,8.8433,0.6257
68.7013,86.1965,0.547063,8.7507,0.6312
68.8537,85.4602,0.546142,8.5786,0.6211
69.0061,86.4822,0.559194,8.5088,0.6002
69.1585,89.7416,0.536935,8.5381,0.5882
69.3109,89.523,0.548127,8.4723,0.5824
69.4633,92.2763,0.548131,8.4574,0.5817
69.6157,90.0643,0.572563,8.4485,0.5822
69.7681,90.3844,0.584729,8.5752,0.5834
69.9205,89.8346,0.580231,8.6537,0.5813
70.0729,93.8119,0.56332,8.7302,0.584
70.2253,95.762,0.547557,8.667,0.5821
70.3777,93.5852,0.566922,8.7164,0.58
70.5301,92.8923,0.562845,8.7011,0.5806
70.6825,94.1003,0.574323,8.7206,0.5841
70.8349,95.5022,0.554562,8.6858,0.5842
70.9873,93.6947,0.562346,8.7307,0.5816
71.1397,88.134,0.549194,8.756,0.5815
71.2921,85.4456,0.554272,8.7979,0.5827
71.4445,86.1948,0.553923,8.6169,0.5873
71.5969,90.5036,0.542024,8.4625,0.5943
71.7493,94.0908,0.537743,8.4179,0.6006
71.9017,90.0504,0.539952,8.5116,0.6012
72.0541,86.4399,0.548439,8.5965,0.6023
72.2065,83.6691,0.561647,8.8411,0.6079
72.3589,86.1308,0.555486,8.7686,0.6106
72.5113,87.3535,0.568659,8.8631,0.6122
72.6637,88.5073,0.550692,8.9624,0.6088
72.8161,91.0458,0.560635,9.0133,0.6069
72.9685,90.0304,0.542695,9.0616,0.6028
73.1209,87.6219,0.554723,9.1164,0.5829
73.2733,84.2577,0.559236,9.1708,0.5602
73.4257,83.5816,0.560284,9.1035,0.5549
73.5781,84.1327,0.566154,9.0367,0.5553
73.7305,84.4129,0.558303,8.9086,0.5602
73.8829,85.093,0.559893,8.8488,0.5631
74.0353,85.2032,0.534746,8.7272,0.5641
74.1877,86.7588,0.543703,8.8203,0.5616
74.3401,88.9045,0.56502,8.8274,0.5545
74.4925,90.625,0.583051,8.9326,0.5602
74.6449,89.9292,0.574965,8.8128,0.5666
74.7973,90.2603,0.540828,8.8576,0.5739
74.9497,88.9159,0.54286,8.8249,0.5808
75.1021,89.9345,0.533374,8.9119,0.5809
75.2545,88.1424,0.527159,8.8494,0.58
75.4069,88.5796,0.519461,8.8614,0.5815
75.5593,86.3405,0.515473,8.8042,0.5818
75.7117,89.6766,0.544882,8.787,0.5763
75.8641,91.0801,0.545829,8.74,0.5659
76.0165,93.7981,0.563802,8.6963,0.5598
76.1689,91.2896,0.548223,8.6673,0.5565
76.3213,89.8243,0.553981,8.6132,0.5581
76.4737,86.0702,0.554351,8.62,0.5611
76.6261,92.3481,0.564005,8.655,0.5566
76.7785,89.9332,0.571643,8.7122,0.5472
76.9309,88.4785,0.562808,8.6114,0.5416
77.0833,79.0947,0.564445,8.5173,0.5393
77.2357,80.0809,0.54328,8.4194,0.5467
77.3881,82.7372,0.552426,8.6041,0.5434
77.5405,83.4082,0.553124,8.8244,0.5376
77.6929,83.036,0.553873,9.028,0.5354
77.8453,83.5707,0.544854,9.0124,0.541
77.9977,85.5077,0.549897,8.8503,0.5538
78.1501,88.0182,0.571492,8.712,0.5575
78.3025,87.0157,0.573667,8.649,0.5622
78.4549,89.1025,0.566846,8.6543,0.5676
78.6073,90.5689,0.553608,8.6074,0.573
78.7597,93.8824,0.556376,8.6326,0.5734
78.9121,91.5459,0.539893,8.6353,0.5647
79.0645,91.9998,0.535383,8.6165,0.5585
79.2169,91.0459,0.537917,8.5863,0.5583
79.3693,90.563,0.563222,8.6146,0.5598
79.5217,89.2866,0.577093,8.6384,0.563
79.6741,87.938,0.576269,8.6363,0.5657
79.8265,88.3791,0.567927,8.6189,0.5655
79.9789,87.5607,0.53566,8.63,0.5655
80.1313,88.625,0.526748,8.7181,0.5661
80.2837,92.1282,0.506957,8.7667,0.5669
80.4361,91.2844,0.556575,8.6743,0.5712
80.5885,88.8665,0.533116,8.5906,0.5837
80.7409,85.7797,0.548974,8.587,0.5901
80.8933,86.1658,0.532387,8.5253,0.5915
81.0457,85.1622,0.576898,8.5037,0.5903
81.1981,85.5368,0.57182,8.3981,0.5845
81.3505,84.5888,0.546612,8.5178,0.5881
81.5029,88.9232,0.534713,8.5541,0.5924
81.6553,91.3451,0.550754,8.6183,0.5944
81.8077,92.8462,0.556735,8.5723,0.5892
81.9601,92.1099,0.568941,8.6131,0.5776
82.1125,90.7836,0.546023,8.5841,0.568
82.2649,90.1397,0.541098,8.5964,0.5578
82.4173,92.488,0.52961,8.5411,0.5468
82.5697,92.3285,0.542748,8.5588,0.5378
82.7221,95.1421,0.542378,8.5363,0.5372
82.8745,94.205,0.545719,8.4767,0.5543
83.0269,94.462,0.564964,8.4332,0.5749
83.1793,93.7029,0.580703,8.442,0.587
83.3317,91.2816,0.600714,8.5262,0.5986
83.4841,88.449,0.584745,8.6565,0.6061
83.6365,87.9668,0.574426,8.7834,0.5959
83.7889,89.4735,0.583026,8.6342,0.5838
83.9413,88.8129,0.557063,8.6132,0.5753
84.0937,87.6003,0.584691,8.4891,0.5713
84.2461,87.1024,0.55533,8.4526,0.5718
84.3985,89.0797,0.589793,8.4232,0.5727
84.5509,90.4778,0.563866,8.4082,0.5838
84.7033,88.0905,0.557929,8.4492,0.5974
84.8557,87.805,0.526923,8.4848,0.6037
85.0081,83.9823,0.52625,8.5067,0.5834
85.1605,83.5849,0.532002,8.4659,0.5803
85.3129,83.8852,0.544042,8.4487,0.5774
85.4653,83.9766,0.56877,8.4375,0.574
85.6177,84.5887,0.558321,8.4498,0.5755
85.7701,84.6928,0.541328,8.4015,0.5863
85.9225,87.0598,0.531972,8.4219,0.5832
