Depth,GR,Porosity,Caliper,Ring resistivity,MLT2_all_original,SD_all_original
15.522,63.2079,0.608824,8.7589,0.9775,1.773433333,1.582759461
15.6744,63.845,0.575336,8.8618,0.9753,1.755433333,1.556556021
15.8268,64.1793,0.573972,9.0785,0.9796,1.759966667,1.563609446
15.9792,65.5188,0.586675,8.9764,0.9996,1.7496,1.607259274
16.1316,66.0209,0.607332,8.8041,1.0145,1.778233333,1.605163765
16.284,66.8693,0.629686,8.7896,1.0213,1.7771,1.566757189
16.4364,65.5625,0.608531,9.1889,1.0195,1.786733333,1.570956883
16.5888,65.3271,0.57617,9.4366,1.0187,1.833266667,1.593024146
16.7412,62.9605,0.536792,9.2648,1.0275,1.852666667,1.606113286
16.8936,63.9713,0.545972,9.0091,1.0348,1.790366667,1.579202277
17.046,61.5705,0.569585,8.9218,1.0402,1.7949,1.587859027
17.1984,61.9386,0.571887,8.8838,1.0405,1.794733333,1.595385302
17.3508,61.4994,0.569343,8.726,1.0384,1.807733333,1.616848085
17.5032,62.3211,0.573479,8.5425,1.0364,1.808433333,1.652201253
17.6556,65.7069,0.560578,8.4935,1.0384,1.819733333,1.691824911
17.808,62.5283,0.592868,8.6525,1.0413,1.880133333,1.696737531
17.9604,64.5877,0.60066,8.8441,1.046,1.984633333,1.643441156
18.1128,63.9993,0.646242,8.774,1.0511,1.9898,1.627464785
18.2652,67.652,0.641906,8.5565,1.0536,2.017866667,1.699046374
18.4176,63.9884,0.613574,8.9326,1.0568,2.019733333,1.73537479
18.57,61.9909,0.640078,9.204,1.0607,1.942733333,1.662404703
18.7224,61.5193,0.611841,8.9064,1.0653,1.9518,1.595069725
18.8748,62.0869,0.639255,8.7641,1.0688,2.029133333,1.608967614
19.0272,61.6157,0.624643,9.1172,1.0589,1.9959,1.60204366
19.1796,61.5585,0.646951,9.4064,1.0496,1.982066667,1.632704503
19.332,63.6893,0.670035,9.4875,1.044,1.963466667,1.619383355
19.4844,64.8288,0.68068,9.4935,1.0386,1.947633333,1.638622521
19.6368,65.4733,0.645457,9.4074,1.0463,1.909533333,1.624516128
19.7892,65.9904,0.598495,9.5753,1.0577,1.892333333,1.659541249
19.9416,67.4049,0.58454,10.0125,1.0682,1.830766667,1.688227269
20.094,65.9262,0.588123,10.5001,1.0736,1.816466667,1.652053827
20.2464,65.4369,0.606992,10.7319,1.0771,1.829733333,1.613633951
20.3988,65.8407,0.611095,10.5525,1.0783,1.829333333,1.615212439
20.5512,67.9179,0.577846,10.2824,1.0795,1.811833333,1.632906878
20.7036,69.8184,0.55598,9.936,1.0873,1.778,1.672977366
20.856,68.3075,0.575279,10.1166,1.0981,1.786466667,1.646944944
21.0084,67.8185,0.607997,10.0784,1.1117,1.817066667,1.609317887
21.1608,65.5521,0.618668,9.6736,1.1176,1.8167,1.541533634
21.3132,65.3336,0.600631,8.7121,1.1065,1.844633333,1.481358802
21.4656,65.0779,0.587157,8.9292,1.0715,1.944733333,1.457468123
21.618,68.3839,0.602358,8.9875,1.0063,2.025333333,1.445841769
21.7704,69.3611,0.582868,9.2951,0.9216,2.062433333,1.4446501
21.9228,67.97,0.602821,8.877,0.9181,2.0859,1.486185034
22.0752,64.8496,0.585649,9.2272,0.9406,2.113933333,1.554233572
22.2276,62.7856,0.561964,10.0195,1.0003,2.1554,1.708750588
22.38,62.824,0.550695,11.4345,1.0427,2.148066667,1.801135585
22.5324,63.9574,0.553042,12.8301,1.0779,2.187566667,1.833776935
22.6848,67.8749,0.558317,13.1781,1.0953,2.1809,1.778263504
22.8372,66.3942,0.571112,13.282,1.1005,2.1035,1.660205002
22.9896,64.15,0.578352,12.7016,1.0773,2.0234,1.606360537
23.142,61.8546,0.610493,12.0685,1.0515,1.962666667,1.586971756
23.2944,64.2875,0.569905,11.3428,1.0289,1.860666667,1.609106011
23.4468,67.5356,0.563148,11.7859,1.0197,1.7322,1.594616472
23.5992,67.4984,0.585246,10.8214,1.0204,1.6996,1.663163303
23.7516,67.4215,0.625886,9.5481,1.0312,1.629066667,1.701409375
23.904,66.3443,0.630719,9.0305,1.0303,1.580733333,1.696265957
24.0564,67.3294,0.594399,8.7691,1.0255,1.538666667,1.68257896
24.2088,67.0199,0.583859,8.8927,1.0178,1.529333333,1.712979282
24.3612,67.555,0.570229,8.9513,1.0215,1.491633333,1.665851704
24.5136,68.7336,0.592302,8.9136,1.027,1.460166667,1.679577925
24.666,69.0336,0.585908,8.9191,1.0348,1.440866667,1.677092002
24.8184,66.4355,0.587785,8.8129,1.037,1.4429,1.630090945
24.9708,61.9227,0.544122,8.7375,1.0373,1.4975,1.708304105
25.1232,62.9492,0.571185,8.5401,1.0368,1.528533333,1.73058687
25.2756,63.1599,0.591475,8.5709,1.0549,1.553766667,1.764676527
25.428,66.3067,0.622263,8.5777,1.0786,1.609166667,1.79425134
25.5804,65.7073,0.595085,8.7548,1.0807,1.613566667,1.751970218
25.7328,68.4172,0.594181,9.1636,1.0844,1.581333333,1.672698625
25.8852,66.4571,0.598764,9.48,1.0868,1.5778,1.67392878
26.0376,65.8405,0.616514,9.6892,1.0842,1.578366667,1.658576226
26.19,63.5724,0.590526,9.7303,1.0828,1.485333333,1.544947967
26.3424,66.6285,0.58766,9.1591,1.0812,1.502333333,1.588793134
26.4948,67.5473,0.548591,8.7483,1.0763,1.517133333,1.588844082
26.6472,69.9664,0.574731,8.6226,1.0731,1.5025,1.576772141
26.7996,69.9852,0.570641,8.626,1.0787,1.485466667,1.58191432
26.952,69.4354,0.602992,8.5835,1.076,1.409466667,1.447049475
27.1044,68.5026,0.550243,8.6214,1.0605,1.377633333,1.383890301
27.2568,66.0451,0.579415,8.7334,1.0343,1.366666667,1.319426323
27.4092,65.688,0.570608,8.8096,1.0319,1.3329,1.295371178
27.5616,64.5931,0.581,8.8602,1.0399,1.325333333,1.328868926
27.714,68.6511,0.540642,8.8182,1.0767,1.4115,1.44949862
27.8664,70.9557,0.562015,8.7175,1.097,1.470333333,1.456966102
28.0188,72.676,0.601992,8.6431,1.107,1.554666667,1.527228194
28.1712,69.6052,0.630325,8.6048,1.1138,1.700733333,1.641654043
28.3236,68.152,0.598391,8.601,1.1203,1.7597,1.635193753
28.476,66.6433,0.563638,8.5905,1.1192,1.7578,1.57528502
28.6284,64.8425,0.550721,8.5241,1.1157,1.760766667,1.554571467
28.7808,63.9153,0.616299,8.4804,1.0849,1.7276,1.503033546
28.9332,64.0343,0.613693,8.4288,1.0608,1.732233333,1.543432812
29.0856,64.0159,0.613026,8.3602,1.0591,1.736866667,1.54772245
29.238,62.8896,0.558105,8.4704,1.0583,1.74,1.557623831
29.3904,61.036,0.570231,8.5652,1.0558,1.754633333,1.597609745
29.5428,62.3536,0.581301,8.4786,1.0377,1.750833333,1.588641937
29.6952,64.5063,0.578762,8.4331,1.0183,1.762266667,1.572906395
29.8476,65.6759,0.636124,8.3801,0.9904,1.7621,1.633472219
30,65.4825,0.625275,8.5006,0.9864,1.703466667,1.659349124
30.1524,64.1188,0.631328,8.4939,0.9965,1.702366667,1.701935124
30.3048,64.8531,0.582165,8.4857,1.0148,1.7155,1.777310698
30.4572,64.5021,0.589641,8.4358,1.0226,1.719533333,1.804520781
30.6096,66.222,0.584437,8.4418,1.0298,1.706766667,1.839187895
30.762,69.5255,0.605716,8.4577,1.0359,1.713033333,1.8017901
30.9144,80.1722,0.607017,8.4369,1.033,1.692833333,1.784577132
31.0668,87.694,0.583758,8.4292,1.0367,1.817866667,1.91053561
31.2192,95.3609,0.573907,8.3716,1.0477,1.840266667,1.905872223
31.3716,96.8428,0.562498,8.379,1.0658,1.826633333,1.761647704
31.524,92.1111,0.580893,8.4649,1.0854,1.809033333,1.721801024
31.6764,78.8696,0.607577,8.4661,1.0898,1.8306,1.776023416
31.8288,68.4674,0.600421,8.4872,1.0848,1.849633333,1.795931782
31.9812,66.4587,0.584774,8.3293,1.0777,1.867833333,1.793253785
32.1336,68.2001,0.558848,8.3745,1.0754,1.8258,1.772643232
32.286,68.9384,0.567015,8.3552,1.0659,1.8227,1.777677158
32.4384,74.8335,0.589,8.3571,1.0459,1.808766667,1.720807711
32.5908,84.9288,0.572586,8.3498,1.0324,1.8338,1.749198815
32.7432,86.1368,0.566381,8.4069,1.0477,1.841,1.798069057
32.8956,79.3854,0.549168,8.4098,1.073,1.8634,1.795995872
33.048,69.5408,0.572133,8.4839,1.0887,1.771666667,1.676742742
33.2004,67.3393,0.564763,8.4693,1.0566,1.7087,1.627462199
33.3528,66.169,0.577737,8.481,0.988,1.707966667,1.762429204
33.5052,65.7216,0.565477,8.4796,0.9379,1.7243,1.812264277
33.6576,64.7418,0.531975,8.5289,0.9149,1.680766667,1.72794245
33.81,67.4737,0.525102,8.5493,0.92,1.6335,1.656224054
33.9624,68.7283,0.539118,8.5372,0.9608,1.6472,1.653552447
34.1148,69.4959,0.576151,8.3903,1.0104,1.710233333,1.651142891
34.2672,67.1398,0.581049,8.2873,1.0528,1.7004,1.598039395
34.4196,65.0901,0.559683,8.329,1.074,1.697733333,1.540111596
34.572,73.251,0.590305,8.4092,1.0642,1.6988,1.509646921
34.7244,83.2375,0.590996,8.471,1.0591,1.700633333,1.507433835
34.8768,89.0342,0.556018,8.5234,1.0659,1.7234,1.549054692
35.0292,80.701,0.527161,8.5045,1.0803,1.744566667,1.585444284
35.1816,71.0922,0.533289,8.4472,1.0954,1.816366667,1.678935287
35.334,68.1535,0.575177,8.474,1.0936,1.7848,1.702421714
35.4864,67.916,0.565916,8.478,1.0916,1.7629,1.619197854
35.6388,64.755,0.567847,8.4011,1.0869,1.725966667,1.592283255
35.7912,68.3311,0.545584,8.3994,1.0792,1.777233333,1.619325614
35.9436,77.7497,0.557895,8.4134,1.0744,1.758666667,1.616904457
36.096,84.9412,0.545018,8.4706,1.0733,1.683433333,1.641374661
36.2484,80.3024,0.569947,8.5436,1.0756,1.635766667,1.689972676
36.4008,68.9626,0.518337,8.479,1.0699,1.565866667,1.691351998
36.5532,64.7833,0.515389,8.4013,1.0557,1.521266667,1.756746746
36.7056,63.6297,0.498539,8.3618,1.0333,1.460066667,1.71969691
36.858,66.0876,0.57154,8.3981,1.0163,1.430233333,1.704318782
37.0104,65.2809,0.574256,8.4788,1.0285,1.384766667,1.679701336
37.1628,64.9652,0.591057,8.4807,1.0746,1.392733333,1.702486925
37.3152,66.2852,0.569647,8.4129,1.0998,1.345633333,1.649541562
37.4676,74.7815,0.56246,8.3167,1.1186,1.349766667,1.717393115
37.62,84.1835,0.560743,8.3481,1.1123,1.3667,1.756942593
37.7724,92.6681,0.54001,8.3326,1.0988,1.364766667,1.766500716
37.9248,87.4296,0.564771,8.317,1.0826,1.3696,1.779929148
38.0772,87.9115,0.558889,8.3629,1.0585,1.3628,1.709312969
38.2296,86.4654,0.564801,8.4405,1.0276,1.378866667,1.745711445
38.382,91.1275,0.533443,8.507,1.013,1.3844,1.753920743
38.5344,89.8157,0.526384,8.508,1.0176,1.419133333,1.780718034
38.6868,92.4494,0.5438,8.4709,1.0368,1.474366667,1.872968597
38.8392,95.0116,0.547075,8.445,1.0433,1.503666667,1.956523709
38.9916,94.7997,0.533388,8.4427,1.0063,1.501433333,1.973446962
39.144,90.6149,0.518312,8.4763,0.9655,1.489666667,1.982470686
39.2964,91.4753,0.532901,8.4805,0.9702,1.5345,2.072036273
39.4488,93.5448,0.532519,8.4659,0.9912,1.541666667,2.064645528
39.6012,94.5014,0.540131,8.4535,1.0317,1.544766667,2.047650388
39.7536,93.2882,0.553861,8.4082,1.0677,1.5518,2.048469712
39.906,91.7446,0.576045,8.3894,1.087,1.558233333,2.03507372
40.0584,91.2821,0.578381,8.413,1.0943,1.585333333,2.118060769
40.2108,89.7554,0.521933,8.44,1.0959,1.605466667,2.113534618
40.3632,90.6148,0.525725,8.4049,1.09,1.6269,2.154694446
40.5156,89.1812,0.507416,8.3917,1.0865,1.605766667,2.136590706
40.668,90.2185,0.52485,8.3644,1.0828,1.581533333,2.093459254
40.8204,91.0675,0.539971,8.4536,1.075,1.525766667,1.977670324
40.9728,96.042,0.566023,8.4708,1.0656,1.557866667,1.982723308
41.1252,96.6193,0.549017,8.4992,1.0555,1.557566667,1.969589004
41.2776,96.9432,0.537225,8.4976,1.0454,1.558066667,1.929718683
41.43,94.2814,0.527195,8.533,1.0381,1.567,1.909465737
41.5824,95.4917,0.556462,8.5539,1.0347,1.5906,1.938828746
41.7348,96.0221,0.575258,8.5318,1.0343,1.5887,1.937930359
41.8872,97.3117,0.569634,8.4864,1.0367,1.573833333,1.932115095
42.0396,95.5678,0.565345,8.5218,1.0419,1.5683,1.907840055
42.192,95.6685,0.550568,8.5272,1.0457,1.5415,1.870243901
42.3444,95.1682,0.581882,8.5112,1.0431,1.523733333,1.850741886
42.4968,97.8248,0.597452,8.4316,1.0392,1.507533333,1.799906974
42.6492,99.9876,0.598687,8.3647,1.0349,1.504633333,1.787457029
42.8016,101.7623,0.587495,8.3834,1.0368,1.4969,1.771903409
42.954,100.3672,0.596707,8.3408,1.0402,1.434133333,1.707830939
43.1064,97.1286,0.573916,8.305,1.0416,1.4107,1.693584781
43.2588,95.5899,0.575495,8.3653,1.041,1.3905,1.695654913
43.4112,92.4821,0.564205,8.4194,1.035,1.3511,1.722634056
43.5636,93.0515,0.595779,8.4706,1.0264,1.289433333,1.688884951
43.716,90.822,0.568825,8.3874,1.0181,1.2524,1.658479717
43.8684,94.5822,0.550557,8.4424,1.0237,1.2657,1.702082825
44.0208,94.351,0.539775,8.6411,1.032,1.280066667,1.746906102
44.1732,96.7038,0.541882,8.6253,1.0429,1.289566667,1.75614864
44.3256,94.5058,0.553046,8.5233,1.0503,1.312433333,1.781597161
44.478,95.2897,0.524308,8.4046,1.0465,1.320333333,1.812877847
44.6304,92.9393,0.521148,8.4538,1.033,1.318333333,1.79104257
44.7828,90.4346,0.511629,8.478,1.0321,1.3497,1.871754153
44.9352,88.8977,0.53394,8.4203,1.0357,1.393566667,1.9174023
45.0876,90.6037,0.555678,8.4555,1.0397,1.420333333,1.913934087
45.24,94.6576,0.556357,8.4821,1.0301,1.424666667,1.934617591
45.3924,97.8189,0.555263,8.5347,1.021,1.450266667,1.910722288
45.5448,99.5693,0.534479,8.568,1.017,1.504833333,1.99959431
45.6972,97.5158,0.56009,8.7193,1.0196,1.518033333,1.959917898
45.8496,95.6195,0.567194,8.7467,1.0283,1.4856,1.890366518
46.002,94.9418,0.585113,8.7701,1.0422,1.427766667,1.801443822
46.1544,96.6448,0.583511,8.7952,1.0491,1.374233333,1.758489573
46.3068,95.2271,0.58243,8.9389,1.047,1.3821,1.802948
46.4592,94.7786,0.576318,9.0758,1.0462,1.364733333,1.801607984
46.6116,96.9355,0.555335,9.25,1.0504,1.3938,1.817337969
46.764,97.6914,0.5574,9.4112,1.0554,1.4268,1.814170047
46.9164,99.2763,0.564872,9.3274,1.0594,1.416566667,1.793034015
47.0688,96.3483,0.556631,9.1746,1.0556,1.3983,1.761169898
47.2212,95.144,0.552029,9.1377,1.0536,1.390266667,1.730552627
47.3736,93.1581,0.554037,9.2191,1.059,1.351266667,1.666906535
47.526,86.9206,0.576952,9.3657,1.0706,1.300666667,1.56323972
47.6784,91.236,0.547079,9.4315,1.0891,1.288233333,1.580494114
47.8308,92.4069,0.565905,9.2596,1.1034,1.323233333,1.609587974
47.9832,100.3726,0.552583,8.9205,1.098,1.369333333,1.654450449
48.1356,96.4682,0.592821,8.6255,1.0641,1.390833333,1.647385142
48.288,96.2937,0.545903,8.6279,1.0477,1.3712,1.576427235
48.4404,93.3554,0.566437,8.7834,1.0434,1.3803,1.563348312
48.5928,93.7182,0.560175,8.9299,1.0567,1.345233333,1.509381942
48.7452,93.4943,0.579258,9.0959,1.0666,1.2865,1.43847509
48.8976,94.8167,0.566937,9.2826,1.063,1.299666667,1.474357427
49.05,94.2929,0.567061,9.358,1.0436,1.325133333,1.522516464
49.2024,93.7343,0.558836,9.2701,1.0282,1.3714,1.568764155
49.3548,96.9784,0.548293,9.1241,1.0183,1.4393,1.6121104
49.5072,100.9736,0.544386,9.1781,1.0178,1.481466667,1.627957242
49.6596,101.0017,0.56172,9.2378,1.0248,1.506133333,1.579321621
49.812,96.3637,0.626753,9.3592,1.0588,1.455166667,1.504884715
49.9644,94.0839,0.642525,9.4661,1.098,1.5054,1.514653065
50.1168,93.6363,0.640743,9.5168,1.1224,1.5618,1.559740671
50.2692,96.9449,0.545396,9.4763,1.1059,1.6188,1.578352483
50.4216,94.7645,0.567793,9.4802,1.0794,1.655033333,1.548461742
50.574,93.435,0.549589,9.5826,1.0413,1.7444,1.601493607
50.7264,89.4876,0.578886,9.7127,0.9954,1.838833333,1.666051561
50.8788,90.8448,0.563923,9.7961,0.9603,1.803533333,1.567852794
51.0312,93.9626,0.569071,9.879,0.9526,1.797066667,1.523186592
51.1836,95.0078,0.586683,9.888,0.9799,1.7533,1.46192613
51.336,94.5993,0.599874,9.7166,1.0454,1.836366667,1.544908573
51.4884,91.7623,0.60267,9.5859,1.0957,1.9216,1.592818353
51.6408,91.7465,0.607742,9.4322,1.1114,1.9513,1.648261875
51.7932,92.7383,0.559092,9.5682,1.0819,1.945,1.708202018
51.9456,93.9427,0.574595,9.6233,0.9988,1.8971,1.67938936
52.098,95.8868,0.553509,9.6439,0.9281,1.9143,1.715199369
52.2504,94.6356,0.567654,9.7241,0.9262,1.9009,1.741320808
52.4028,92.7779,0.578591,9.7339,1.0012,1.908166667,1.790472974
52.5552,91.6437,0.586373,9.4416,1.0877,1.863533333,1.786998615
52.7076,90.4362,0.579919,9.0962,1.1165,1.829766667,1.778430613
52.86,91.721,0.561862,8.9083,1.0957,1.8297,1.823665177
53.0124,88.0211,0.576547,8.869,1.065,1.848533333,1.887556582
53.1648,87.4006,0.606208,8.8403,1.0562,1.832066667,1.910852269
53.3172,85.9146,0.601589,8.8298,1.0496,1.764366667,1.890830902
53.4696,87.4904,0.603719,8.8255,1.045,1.6971,1.834090789
53.622,88.844,0.582013,8.7762,1.0387,1.6864,1.833468473
53.7744,89.789,0.671851,8.8967,1.0307,1.7648,1.850264439
53.9268,89.1175,0.6306,9.0141,1.021,1.808466667,1.875001577
54.0792,89.3411,0.620966,9.0516,1.0073,1.796333333,1.827911966
54.2316,91.1358,0.543033,9.0858,0.995,1.738666667,1.766743017
54.384,93.7526,0.574408,9.1247,0.988,1.734733333,1.72115678
54.5364,95.2055,0.57739,9.0585,0.9781,1.839066667,1.736085442
54.6888,95.0511,0.580297,9.0553,0.9678,1.853133333,1.703477242
54.8412,93.965,0.560144,8.9358,0.9636,1.8769,1.690567781
54.9936,90.9477,0.540498,8.767,0.974,1.865866667,1.700846529
55.146,87.7739,0.544238,9.0074,0.9882,1.906866667,1.73337095
55.2984,86.8395,0.557234,9.3115,1.0036,1.904233333,1.711278268
55.4508,87.4864,0.567741,9.3882,1.0232,1.905,1.731874303
55.6032,89.4095,0.602902,9.2798,1.0335,1.9141,1.72084048
55.7556,91.3333,0.589701,8.9296,1.0206,1.794233333,1.645218824
55.908,93.7454,0.612439,8.6414,1.0149,1.724,1.664966626
56.0604,93.8696,0.586194,8.6275,1.0128,1.67,1.662199787
56.2128,92.5696,0.589091,8.7229,1.0119,1.715266667,1.690520707
56.3652,91.2568,0.592555,8.7009,1.0111,1.718666667,1.723355106
56.5176,90.466,0.591161,8.6157,1.0153,1.750833333,1.965092162
56.67,90.1674,0.590676,8.6333,1.0199,1.762,2.073198366
56.8224,87.3833,0.618439,8.6861,1.0204,1.7823,2.2302965
56.9748,86.4358,0.616336,8.6949,1.0158,1.709033333,2.174887039
57.1272,82.9524,0.607768,8.6507,1.0115,1.6673,2.114321864
57.2796,84.4689,0.593941,8.6523,1.0094,1.708233333,2.158922751
57.432,86.3625,0.605378,8.8172,1.0117,1.731933333,2.205016038
57.5844,91.5918,0.665924,8.989,1.0152,1.6932,2.168838651
57.7368,94.5986,0.627345,9.073,1.0196,1.745466667,2.240588803
57.8892,96.0993,0.603307,9.0551,1.0298,1.757133333,2.27498426
58.0416,95.4231,0.554086,8.9034,1.0409,1.786533333,2.26137617
58.194,92.1241,0.548097,8.733,1.0496,1.6782,2.135626487
58.3464,89.0623,0.553013,8.563,1.0527,1.659066667,2.017214845
58.4988,88.8744,0.55813,8.4683,1.0538,1.479566667,1.660637783
58.6512,90.6908,0.570846,8.4781,1.0529,1.452766667,1.636368493
58.8036,95.3163,0.57555,8.7198,1.0534,1.4866,1.619031534
58.956,94.8555,0.546331,8.9686,1.0434,1.4893,1.563025765
59.1084,95.4913,0.56569,9.1443,1.0168,1.523033333,1.559654652
59.2608,94.6836,0.559222,9.2652,0.9888,1.6022,1.593984471
59.4132,98.571,0.599438,9.3646,0.9776,1.627366667,1.592447811
59.5656,96.8043,0.577065,9.282,0.9804,1.6567,1.605272233
59.718,93.3708,0.564945,9.2325,0.994,1.702566667,1.594771325
59.8704,91.8492,0.576148,9.2201,1.0145,1.713266667,1.566281838
60.0228,92.4609,0.568896,9.1653,1.0316,1.7422,1.5793347
60.1752,93.9427,0.59186,9.1706,1.0447,1.7782,1.567752668
60.3276,93.5194,0.577756,9.3855,1.0557,1.756366667,1.521161519
60.48,94.3134,0.552087,9.3976,1.0551,1.7485,1.488127767
60.6324,95.714,0.534179,9.013,1.0435,1.712033333,1.45244386
60.7848,96.7736,0.532933,8.7053,1.0321,1.714366667,1.418907502
60.9372,95.7896,0.53911,8.6387,1.029,1.768833333,1.475771145
61.0896,95.2993,0.552977,8.6578,1.0331,1.7796,1.48391223
61.242,95.0992,0.544773,8.6544,1.0391,1.739666667,1.439670688
61.3944,98.0857,0.563108,8.6725,1.0428,1.761966667,1.45114039
61.5468,99.9054,0.550226,8.7104,1.0445,1.7544,1.442564235
61.6992,99.7477,0.561887,8.6947,1.043,1.711066667,1.408936477
61.8516,98.762,0.573398,8.9155,1.0332,1.734266667,1.455084463
62.004,96.1323,0.598684,9.112,1.013,1.725133333,1.451518647
62.1564,93.3717,0.567013,8.9067,0.9902,1.7448,1.478538138
62.3088,92.4229,0.560116,8.7262,0.9871,1.792466667,1.511162394
62.4612,91.0556,0.568211,8.4597,0.9903,1.782033333,1.501045957
62.6136,91.7409,0.567667,8.5208,0.991,1.820666667,1.526819927
62.766,91.7504,0.554426,8.5901,0.9889,1.808066667,1.516680145
62.9184,92.5735,0.548938,8.5684,0.9865,1.837833333,1.517894926
63.0708,94.7213,0.558834,8.7286,0.9872,1.847533333,1.507517777
63.2232,97.4769,0.574924,8.9478,0.9835,1.846766667,1.490477031
63.3756,97.6192,0.566581,8.928,0.9703,1.827866667,1.498950071
63.528,97.1463,0.578813,8.728,0.965,1.832633333,1.51456963
63.6804,95.3133,0.608699,8.613,0.9817,1.834433333,1.550530806
63.8328,97.2337,0.609943,8.6047,1.0052,1.752766667,1.469736953
63.9852,96.7,0.607959,8.6757,1.0256,1.749866667,1.470536087
64.1376,95.5248,0.582831,8.9541,1.0427,1.721733333,1.475580878
64.29,92.9186,0.574699,9.139,1.0608,1.679266667,1.425288881
64.4424,91.9042,0.566831,9.4296,1.0651,1.7291,1.484656534
64.5948,89.6597,0.562099,9.5992,1.0679,1.7866,1.55547396
64.7472,90.4594,0.552952,9.7052,1.0678,1.7741,1.54231716
64.8996,91.0482,0.551252,9.5201,1.0605,1.702466667,1.545080057
65.052,91.7897,0.582704,9.1562,1.0524,1.704933333,1.601417641
65.2044,93.0171,0.577957,9.241,1.0564,1.711833333,1.669457319
65.3568,96.3115,0.612161,9.2584,1.0675,1.6969,1.67010693
65.5092,98.5788,0.564609,9.5417,1.066,1.667,1.681899898
65.6616,99.4026,0.572426,9.846,1.0601,1.648066667,1.66367681
65.814,95.6273,0.569102,9.9723,1.057,1.688433333,1.710032606
65.9664,96.0202,0.599431,9.9411,1.0592,1.716,1.742194459
66.1188,92.4731,0.66192,10.1016,1.0637,1.751833333,1.774846718
66.2712,92.1872,0.620293,10.2071,1.0659,1.772966667,1.794061565
66.4236,90.5479,0.568337,10.1665,1.0669,1.7261,1.718836629
66.576,92.699,0.534246,9.9917,1.0747,1.689266667,1.6798616
66.7284,89.2109,0.550465,9.7457,1.077,1.6462,1.629305689
66.8808,88.6925,0.565591,9.4441,1.0589,1.650066667,1.658000521
67.0332,88.2665,0.556724,9.213,1.034,1.626666667,1.64614026
67.1856,92.7463,0.531894,8.9686,1.0026,1.560366667,1.614889934
67.338,93.9107,0.543043,8.9149,0.9925,1.545266667,1.621234857
67.4904,94.3834,0.579361,9.0884,0.993,1.5382,1.60068634
67.6428,97.9347,0.599993,9.3459,0.996,1.537233333,1.540361661
67.7952,99.6892,0.628994,9.46,1.0041,1.524066667,1.472468131
67.9476,99.5822,0.568361,9.738,1.0188,1.541,1.475477279
68.1,96.3406,0.579667,10.0356,1.0394,1.492866667,1.437274475
68.2524,95.4832,0.556563,10.1772,1.057,1.459866667,1.425709057
68.4048,97.5288,0.577172,10.1106,1.0666,1.494133333,1.499719635
68.5572,99.0308,0.574127,9.9571,1.0657,1.5082,1.47754139
68.7096,99.7994,0.578895,10.095,1.0622,1.518833333,1.533337973
68.862,98.3054,0.591799,10.2931,1.0601,1.513766667,1.574639889
